timestamp,symbol,best_level_ofi,sequence,multi_level_ofi,integrated_ofi
2024-10-21 12:55:23.701735603+00:00,AAPL,-25,14935940,-336.2535714285714,-191.4024724843182
2024-10-21 12:55:23.701747931+00:00,AAPL,0,14935941,311.2535714285714,190.90222751834898
2024-10-21 12:55:24.862826730+00:00,AAPL,0,14937768,100.0,12.15752895427318
2024-10-21 12:55:26.706482748+00:00,AAPL,0,14939654,-100.0,-12.15752895427318
2024-10-21 12:55:37.151044095+00:00,AAPL,0,14951165,100.0,12.15752895427318
2024-10-21 12:55:37.151054693+00:00,AAPL,0,14951166,-311.2535714285714,-190.90222751834898
2024-10-21 12:55:37.151066136+00:00,AAPL,0,14951167,-100.0,-12.15752895427318
2024-10-21 12:55:42.999639664+00:00,AAPL,0,14956353,-677.5650793650793,-480.2521517486034
2024-10-21 12:55:42.999652165+00:00,AAPL,0,14956354,677.5650793650793,480.2521517486034
2024-10-21 12:55:42.999664407+00:00,AAPL,0,14956355,-100.0,-12.15752895427318
2024-10-21 12:55:43.053918430+00:00,AAPL,0,14956604,100.0,12.15752895427318
2024-10-21 12:55:43.053930632+00:00,AAPL,0,14956605,411.25357142857143,203.05975647262213
2024-10-21 12:55:44.065840207+00:00,AAPL,0,14957803,100.0,12.15752895427318
2024-10-21 12:55:44.298847396+00:00,AAPL,0,14958064,-677.5650793650793,-480.2521517486034
2024-10-21 12:55:44.298860589+00:00,AAPL,0,14958065,677.5650793650793,480.2521517486034
2024-10-21 12:55:49.600508142+00:00,AAPL,25,14962968,367.252380952381,164.89381337517753
2024-10-21 12:55:49.600561018+00:00,AAPL,0,14962969,276.281746031746,168.45639980106677
2024-10-21 12:55:49.602960660+00:00,AAPL,0,14962972,-263.781746031746,-166.93670868178262
2024-10-21 12:55:51.620426502+00:00,AAPL,-25,14964537,-25.0,-0.5002449659692219
2024-10-21 12:56:02.093908434+00:00,AAPL,0,14975552,-66.66666666666666,-20.526860855787415
2024-10-21 12:56:03.269632443+00:00,AAPL,0,14977002,66.66666666666666,20.526860855787415
2024-10-21 12:56:03.269646561+00:00,AAPL,0,14977003,66.66666666666666,20.526860855787415
2024-10-21 12:56:07.124679898+00:00,AAPL,0,14982197,100.0,12.15752895427318
2024-10-21 12:56:08.881388845+00:00,AAPL,0,14985590,-242.25238095238092,-152.23603945493514
2024-10-21 12:56:08.881400360+00:00,AAPL,0,14985591,242.25238095238092,152.23603945493514
2024-10-21 12:56:09.292369731+00:00,AAPL,0,14986201,100.0,12.15752895427318
2024-10-21 12:56:22.318827078+00:00,AAPL,0,14997468,0.0,0.0
2024-10-21 12:56:22.318827078+00:00,AAPL,4,14997469,4.0,0.08003919455507548
2024-10-21 12:56:22.318827078+00:00,AAPL,4,14997469,4.0,-166.35452867580764
2024-10-21 12:56:22.318827078+00:00,AAPL,4,14997469,-440.252380952381,0.08003919455507548
2024-10-21 12:56:22.318827078+00:00,AAPL,4,14997469,-440.252380952381,-166.35452867580764
2024-10-21 12:56:22.318827078+00:00,AAPL,-98,14997469,4.0,0.08003919455507548
2024-10-21 12:56:22.318827078+00:00,AAPL,-98,14997469,4.0,-166.35452867580764
2024-10-21 12:56:22.318827078+00:00,AAPL,-98,14997469,-440.252380952381,0.08003919455507548
2024-10-21 12:56:22.318827078+00:00,AAPL,-98,14997469,-440.252380952381,-166.35452867580764
2024-10-21 12:56:22.318852373+00:00,AAPL,100,14997470,650.4488095238096,349.3835243374578
2024-10-21 12:56:22.318854497+00:00,AAPL,37,14997471,37.0,0.7403625496344483
2024-10-21 12:56:22.318867022+00:00,AAPL,0,14997473,493.08730158730157,354.38195466790154
2024-10-21 12:56:22.318873215+00:00,AAPL,0,14997474,-311.2535714285714,-190.90222751834898
2024-10-21 12:56:22.318879396+00:00,AAPL,-91,14997476,-91.0,-1.8208916761279674
2024-10-21 12:56:22.318888491+00:00,AAPL,0,14997477,-493.08730158730157,-354.38195466790154
2024-10-21 12:56:22.318892579+00:00,AAPL,0,14997478,447.58730158730157,348.85027899370726
2024-10-21 12:56:22.418935993+00:00,AAPL,-37,14997645,-37.0,-0.7403625496344483
2024-10-21 12:56:22.418961652+00:00,AAPL,0,14997646,-447.58730158730157,-348.85027899370726
2024-10-21 12:56:22.418999332+00:00,AAPL,0,14997647,311.2535714285714,190.90222751834898
2024-10-21 12:56:22.573764377+00:00,AAPL,-9,14997849,-559.4488095238096,-347.5626326613298
2024-10-21 12:56:28.426425567+00:00,AAPL,0,15003253,-677.5650793650793,-480.2521517486034
2024-10-21 12:56:28.426438060+00:00,AAPL,0,15003254,677.5650793650793,480.2521517486034
2024-10-21 12:56:29.082300571+00:00,AAPL,0,15004345,100.0,12.15752895427318
2024-10-21 12:56:43.345471121+00:00,AAPL,-6,15018826,-6.0,-0.12005879183261323
2024-10-21 12:56:43.345495320+00:00,AAPL,0,15018828,-677.5650793650793,-480.2521517486034
2024-10-21 12:56:43.349563754+00:00,AAPL,6,15018932,6.0,0.12005879183261323
2024-10-21 12:56:43.451978758+00:00,AAPL,0,15019123,677.5650793650793,480.2521517486034
2024-10-21 12:56:49.157872964+00:00,AAPL,-10,15023750,-10.0,-0.20009798638768872
2024-10-21 12:56:49.157900740+00:00,AAPL,108,15023751,450.252380952381,166.55462666219535
2024-10-21 12:56:49.161966909+00:00,AAPL,0,15023756,5.0,0.607876447713659
2024-10-21 12:56:49.162006671+00:00,AAPL,-98,15023757,-440.252380952381,-166.35452867580764
2024-10-21 12:56:49.229676652+00:00,AAPL,0,15023837,-677.5650793650793,-480.2521517486034
2024-10-21 12:56:49.229690482+00:00,AAPL,0,15023838,704.231746031746,507.0956584203263
